,condition,environment,bootstraps
302,small,ashtray,7.333333333333333
303,small,ashtray,4.4
304,small,ashtray,5.2
305,small,ashtray,9.4
306,small,ashtray,2.75
307,small,ashtray,3.0
308,small,ashtray,3.3333333333333335
309,small,ashtray,4.8
310,small,ashtray,4.6
311,small,ashtray,2.6666666666666665
312,small,ashtray,6.142857142857143
313,small,ashtray,4.6
314,small,ashtray,3.5
315,small,ashtray,3.0
316,small,ashtray,4.6
317,small,ashtray,5.166666666666667
318,small,ashtray,6.4
319,small,ashtray,3.0
320,small,ashtray,2.0
321,small,ashtray,4.285714285714286
322,small,ashtray,1.0
323,small,ashtray,6.6
324,small,ashtray,3.4
325,small,ashtray,3.0
326,small,ashtray,2.3333333333333335
327,small,ashtray,4.571428571428571
328,small,ashtray,3.0
329,small,ashtray,2.6666666666666665
330,small,ashtray,3.6
331,small,ashtray,7.428571428571429
332,small,ashtray,3.0
333,small,ashtray,3.0
334,small,ashtray,4.6
335,small,ashtray,4.0
336,small,ashtray,2.3333333333333335
337,small,ashtray,2.3333333333333335
338,small,ashtray,8.5
339,small,ashtray,2.75
340,small,ashtray,5.0
341,small,ashtray,4.6
342,small,ashtray,3.0
343,small,ashtray,4.8
344,small,ashtray,4.428571428571429
345,small,ashtray,2.6666666666666665
346,small,ashtray,4.8
347,small,ashtray,3.2
348,small,ashtray,2.6666666666666665
349,small,ashtray,5.2
350,small,ashtray,10.428571428571429
351,small,ashtray,2.6666666666666665
352,small,ashtray,4.833333333333333
353,small,ashtray,5.2
354,small,ashtray,6.8
355,small,ashtray,1.0
356,small,ashtray,3.0
357,small,ashtray,4.2
358,small,ashtray,2.6666666666666665
359,small,ashtray,2.6666666666666665
360,small,ashtray,2.6666666666666665
361,small,ashtray,7.0
362,small,ashtray,5.2
363,small,ashtray,2.6666666666666665
364,small,ashtray,7.285714285714286
365,small,ashtray,6.6
366,small,ashtray,5.0
367,small,ashtray,7.142857142857143
368,small,ashtray,3.0
369,small,ashtray,2.6666666666666665
370,small,ashtray,3.0
371,small,ashtray,7.0
372,small,ashtray,2.6666666666666665
373,small,ashtray,3.6
374,small,ashtray,4.285714285714286
375,small,ashtray,5.857142857142857
376,small,ashtray,6.75
