block,RT,image,position,response,order,environment,condition,location,binary,label
87,2178,mug08,18,-1,4,mug,a,outdoor,0,mug
88,227,mug11,15,-1,4,mug,a,outdoor,0,mug
89,185,mug09,17,-1,4,mug,a,outdoor,0,mug
90,1275,mug20,6,1,4,mug,a,outdoor,1,mug
91,204,axe17,9,1,4,axe,a,outdoor,1,axe
92,192,axe13,13,1,4,axe,a,outdoor,1,axe
93,210,axe08,18,1,4,axe,a,outdoor,1,axe
94,218,axe03,23,1,4,axe,a,outdoor,1,axe
95,209,axe25,1,-1,4,axe,a,outdoor,0,axe
96,219,package06,20,-1,4,package,a,outdoor,0,package
97,321,package22,4,1,4,package,a,outdoor,1,package
98,764,package18,8,1,4,package,a,outdoor,1,package
99,340,package17,9,-1,4,package,a,outdoor,0,package
100,641,package11,15,1,4,package,a,outdoor,1,package
1,292,soap10,16,-1,4,soap,a,indoor,0,soap
2,71,soap15,11,-1,4,soap,a,indoor,0,soap
3,62,soap22,4,-1,4,soap,a,indoor,0,soap
4,314,soap06,20,-1,4,soap,a,indoor,0,soap
5,238,soap23,3,-1,4,soap,a,indoor,0,soap
6,350,microwave17,9,-1,4,microwave,a,indoor,0,microwave
7,77,microwave20,6,-1,4,microwave,a,indoor,0,microwave
8,419,microwave04,22,-1,4,microwave,a,indoor,0,microwave
9,438,microwave25,1,-1,4,microwave,a,indoor,0,microwave
10,17,microwave05,21,-1,4,microwave,a,indoor,0,microwave
11,598,lamp24,2,-1,4,lamp,a,indoor,0,lamp
12,398,lamp07,19,-1,4,lamp,a,indoor,0,lamp
13,371,lamp02,24,-1,4,lamp,a,indoor,0,lamp
14,174,lamp09,17,-1,4,lamp,a,indoor,0,lamp
15,602,lamp03,23,1,4,lamp,a,indoor,1,lamp
16,20,firealarm05,21,-1,4,firealarm,a,indoor,0,firealarm
17,526,firealarm10,16,-1,4,firealarm,a,indoor,0,firealarm
18,50,firealarm23,3,-1,4,firealarm,a,indoor,0,firealarm
19,658,firealarm06,20,-1,4,firealarm,a,indoor,0,firealarm
