image,environment,condition,label,block,RT,position,response,order,binary,preferred,distance_from_optimal,pixels,log_pixels,group,scene
mailbox11,mailbox,a,mailbox,63.0,636.3181818181819,15.0,-0.36363636363636365,1.0,0.3181818181818182,6.36,8.64,3583.0,8.183955717304954,small,mailbox
mailbox11,mailbox,b,house,63.0,553.2045454545455,15.0,0.09090909090909091,1.0,0.5454545454545454,23.07,-8.07,79741.0,11.286539161614174,big,mailbox
mailbox11,mailbox,c,mailbox,63.0,518.219512195122,15.0,-0.07317073170731707,1.0,0.4634146341463415,6.359999999999999,8.64,0.0,-inf,none,mailbox
mailbox12,mailbox,a,mailbox,64.0,614.2272727272727,14.0,0.0,1.0,0.5,6.36,7.64,3845.0,8.254528881939745,small,mailbox
mailbox12,mailbox,b,house,64.0,593.9090909090909,14.0,-0.13636363636363635,1.0,0.4318181818181818,23.07,-9.07,81768.0,11.311641248008913,big,mailbox
mailbox12,mailbox,c,mailbox,65.0,659.2666666666667,14.0,0.022222222222222223,5.0,0.5111111111111111,6.359999999999999,7.640000000000001,0.0,-inf,none,mailbox
mailbox13,mailbox,a,mailbox,64.0,548.4761904761905,13.0,-0.3333333333333333,3.0,0.3333333333333333,6.36,6.64,3847.0,8.255048902752295,small,mailbox
mailbox13,mailbox,b,house,64.0,644.1333333333333,13.0,-0.3333333333333333,3.0,0.3333333333333333,23.07,-10.07,84309.0,11.342243899857174,big,mailbox
mailbox13,mailbox,c,mailbox,64.0,444.3181818181818,13.0,-0.18181818181818182,2.0,0.4090909090909091,6.36,6.64,0.0,-inf,none,mailbox
mailbox14,mailbox,a,mailbox,61.0,630.7209302325581,12.0,0.06976744186046512,1.0,0.5348837209302325,6.36,5.64,4086.0,8.315321775377567,small,mailbox
mailbox14,mailbox,b,house,61.0,638.0,12.0,0.045454545454545456,1.0,0.5227272727272727,23.07,-11.07,86591.0,11.368951163052838,big,mailbox
mailbox14,mailbox,c,mailbox,65.0,425.76190476190476,12.0,-0.42857142857142855,4.0,0.2857142857142857,6.36,5.64,0.0,-inf,none,mailbox
mailbox15,mailbox,a,mailbox,62.0,507.8,11.0,-0.24444444444444444,2.0,0.37777777777777777,6.359999999999999,4.64,4484.0,8.40827078419205,small,mailbox
mailbox15,mailbox,b,house,62.0,625.9555555555555,11.0,0.1111111111111111,2.0,0.5555555555555556,23.07,-12.07,90348.0,11.411424159638123,big,mailbox
mailbox15,mailbox,c,mailbox,61.0,432.70454545454544,11.0,-0.18181818181818182,1.0,0.4090909090909091,6.36,4.64,0.0,-inf,none,mailbox
mailbox16,mailbox,a,mailbox,62.0,545.4888888888889,10.0,0.24444444444444444,5.0,0.6222222222222222,6.359999999999999,3.6399999999999997,4727.0,8.461046030793236,small,mailbox
mailbox16,mailbox,b,house,62.0,725.1555555555556,10.0,-0.022222222222222223,5.0,0.4888888888888889,23.07,-13.07,91465.0,11.423711664425399,big,mailbox
mailbox16,mailbox,c,mailbox,62.0,614.4888888888889,10.0,0.15555555555555556,2.0,0.5777777777777777,6.359999999999999,3.6399999999999997,0.0,-inf,none,mailbox
mailbox17,mailbox,a,mailbox,62.0,564.3555555555556,9.0,-0.24444444444444444,3.0,0.37777777777777777,6.359999999999999,2.6399999999999997,5128.0,8.542470998600505,small,mailbox
mailbox17,mailbox,b,house,62.0,612.6444444444444,9.0,0.1111111111111111,3.0,0.5555555555555556,23.07,-14.07,96103.0,11.473175811952919,big,mailbox
mailbox17,mailbox,c,mailbox,64.0,610.6136363636364,9.0,-0.22727272727272727,4.0,0.38636363636363635,6.36,2.6399999999999997,0.0,-inf,none,mailbox
mailbox18,mailbox,a,mailbox,65.0,682.3488372093024,8.0,0.16279069767441862,3.0,0.5813953488372093,6.36,1.6399999999999997,6173.0,8.727940222393896,small,mailbox
mailbox18,mailbox,b,house,65.0,571.6444444444444,8.0,-0.06666666666666667,3.0,0.4666666666666667,23.07,-15.07,101105.0,11.52391485976983,big,mailbox
mailbox18,mailbox,c,mailbox,62.0,601.5909090909091,8.0,-0.09090909090909091,4.0,0.45454545454545453,6.36,1.6399999999999997,0.0,-inf,none,mailbox
mailbox19,mailbox,a,mailbox,61.0,603.3863636363636,7.0,0.22727272727272727,3.0,0.6136363636363636,6.36,0.6399999999999997,6486.0,8.777401286867264,small,mailbox
mailbox19,mailbox,b,house,61.0,550.9111111111112,7.0,0.1111111111111111,3.0,0.5555555555555556,23.07,-16.07,106659.0,11.577392108524668,big,mailbox
mailbox19,mailbox,c,mailbox,61.0,622.953488372093,7.0,-0.023255813953488372,4.0,0.4883720930232558,6.36,0.6399999999999997,0.0,-inf,none,mailbox
mailbox20,mailbox,a,mailbox,63.0,524.1860465116279,6.0,0.20930232558139536,4.0,0.6046511627906976,6.36,-0.3600000000000003,7035.0,8.858652969548489,small,mailbox
mailbox20,mailbox,b,house,63.0,711.9545454545455,6.0,0.22727272727272727,4.0,0.6136363636363636,23.07,-17.07,112635.0,11.631907781202093,big,mailbox
mailbox20,mailbox,c,mailbox,64.0,495.7674418604651,6.0,0.2558139534883721,5.0,0.627906976744186,6.36,-0.3600000000000003,0.0,-inf,none,mailbox
mailbox21,mailbox,a,mailbox,65.0,500.0888888888889,5.0,0.37777777777777777,1.0,0.6888888888888889,6.359999999999999,-1.3600000000000003,7658.0,8.943506132037239,small,mailbox
mailbox21,mailbox,b,house,65.0,685.9777777777778,5.0,0.3333333333333333,1.0,0.6666666666666666,23.07,-18.07,119838.0,11.693896109693227,big,mailbox
mailbox21,mailbox,c,mailbox,65.0,462.6046511627907,5.0,0.3023255813953488,3.0,0.6511627906976745,6.36,-1.3600000000000003,0.0,-inf,none,mailbox
mailbox22,mailbox,a,mailbox,63.0,587.8571428571429,4.0,0.47619047619047616,3.0,0.7380952380952381,6.36,-2.3600000000000003,8863.0,9.089640586738398,small,mailbox
mailbox22,mailbox,b,house,63.0,609.8837209302326,4.0,0.2558139534883721,3.0,0.627906976744186,23.07,-19.07,128811.0,11.766101492732409,big,mailbox
mailbox22,mailbox,c,mailbox,63.0,742.5116279069767,4.0,0.5813953488372093,4.0,0.7906976744186046,6.36,-2.3600000000000003,0.0,-inf,none,mailbox
mailbox23,mailbox,a,mailbox,63.0,558.0444444444445,3.0,0.28888888888888886,2.0,0.6444444444444445,6.359999999999999,-3.3600000000000003,9597.0,9.169205828617628,small,mailbox
